,start_lat,start_lon,end_lat,end_lon,distance_km,num_turns,num_traffic_lights,time_of_day,day_of_week,avg_speed_kmh,traffic_factor,estimated_time_min
0,19.139376451398576,72.77525225859675,18.997261434163956,72.81687425501126,16.329680506939766,46,88,0,5,37.658466252766644,1.01742508365046,26.47090262929317
1,19.178860420420396,72.88452697208716,19.120292079855126,72.77667436269117,13.067486689344054,47,70,0,1,37.6586304305082,1.4909729556485982,31.041918990754592
2,18.98073774842239,72.8964239331005,19.10888557454606,72.9203641187137,14.407125895431003,50,63,3,1,42.41962271566034,0.9727780074568463,19.823281289906404
3,19.065191528050704,72.82842004872843,19.229027125109244,72.92934954709726,21.01511367940064,58,92,1,5,20.86719755342202,0.6099085529881075,36.85391162546956
4,19.054819615279868,72.82835298175104,18.97397236722196,72.93033376709137,13.977381128842076,41,62,0,0,34.556172754748175,1.3822634555704314,33.54611624863486
5,19.03817164724856,72.84538566990177,19.0241427317668,72.82554938211662,2.6023294254537324,6,15,0,5,41.10922589709866,1.0366114704534337,3.9372250001636053
6,19.06917570307202,72.79621349419916,19.249695195090982,72.78654804159648,20.00827071899625,60,116,2,6,27.34880886077358,1.1560204063533432,50.744372886039095
7,19.135169521802833,72.95594486706673,19.031037660205122,72.8103806039539,19.171328768309014,58,115,0,0,50.91992264357671,1.3793699936433255,31.159932225009765
8,19.147892694241406,72.93234435156563,19.274236393057695,72.94961672141318,14.103018531981395,54,62,0,3,29.909146571348924,1.2814047095321688,36.253139464992834
9,18.998409705212936,72.90349373329552,19.032284549798334,72.84773800309455,6.965495580887764,26,31,1,5,24.167057864631126,0.5422772674924288,9.377798319080721
10,18.994121350599155,72.96669746341962,19.142733800246173,72.89791751119007,17.972674224769023,61,81,1,4,45.821227947130396,1.0916028672163949,25.68986942638152
11,19.174359451200637,72.80431452369,19.037987622285485,72.9777999036337,23.687924668930883,78,114,1,5,48.87748459593357,0.7589310277626781,22.068444597558862
12,19.016470266421976,72.9313458512944,18.91181579954422,72.94257854474144,11.644618833622424,37,43,2,3,51.79716344700701,1.3912672414065639,18.766406085297998
13,18.994418941630524,72.81430639715313,19.25773478859067,72.95403720155926,32.64507154469016,112,146,2,1,31.017920605443216,1.4282355145850691,90.18950912160423
14,19.145621079465005,72.85308269922274,19.246673559998815,72.86635888904335,11.272748232729118,35,56,2,1,36.01361609984799,1.2323674280979913,23.144858947763147
15,18.986184728000655,72.88788730817426,18.992469227323944,72.89276305794695,0.8645865134745063,1,5,3,2,39.39135912525254,1.1022204554172195,1.4515339837845924
16,18.97553509607134,72.97948289736398,19.08871525453382,72.7890909765565,23.63626584402993,64,111,0,6,49.15402117702074,1.2411016230697345,35.80786336485599
17,18.932763160836757,72.90176366875765,19.198910952101556,72.85865359302794,29.8080202005571,80,150,0,3,43.287511096596845,1.468827389977048,60.68656118463162
18,19.03883152173755,72.97918548985042,19.096354594588664,72.97392645929887,6.391407263650003,17,27,0,5,42.96120277064576,1.0020856391593571,8.944913577650562
19,19.171081509550476,72.91315917749559,19.09941842885943,72.82603328989003,12.122152057453372,36,54,2,0,42.610552721798896,1.3012845514210885,22.21191915345165
20,19.004465050172495,72.80321312841238,18.891265673279676,72.92163933287509,17.6801275500498,68,89,2,4,42.57550390722764,1.4887341884826335,37.09317507717094
21,19.187165257630305,72.8766131516669,18.931500220891106,72.90131304064894,28.419436052066352,78,135,1,1,39.25554084233833,0.8147547789418131,35.39098559041489
22,19.035826402510548,72.80392529750816,19.261864901584868,72.96371115692985,30.14301558299269,93,123,0,4,38.076390352188774,1.2434684616273668,59.063197223954916
23,19.016420862231822,72.77409011590102,19.252348460343203,72.95453159434287,32.28639404008249,89,172,2,1,43.015473423336125,1.4184649045835578,63.87996671435109
24,18.912590814932734,72.95438201583285,19.25931028366622,72.78798722493426,42.185509641096424,122,217,3,6,30.094636748693116,0.5122325424664291,43.08167805276319
25,18.91699288220267,72.92972645470402,19.188675427429725,72.79696220754495,33.161585396402295,102,155,3,4,34.33702270397228,0.8697465716019966,50.39838565398588
26,18.95439951399991,72.88081149535783,19.126571627818226,72.97251621026157,21.363581649196156,69,127,1,5,32.16746707663763,0.7774080854835689,30.97829444153331
